City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Sorland,NO,67.667,12.6934,55.26,96,100,28.45,overcast clouds
203,Kawalu,ID,-7.3817,108.2082,75.61,77,87,2.1,overcast clouds
204,Kodiak,US,57.79,-152.4072,56.71,72,100,6.91,overcast clouds
205,Saint-Francois,FR,46.4154,3.9054,54.84,76,0,2.3,clear sky
206,Labytnangi,RU,66.6572,66.4183,60.08,70,32,6.58,scattered clouds
207,Kamenka,RU,51.3223,42.7678,66.11,49,16,6.76,few clouds
208,Vila Velha,BR,-20.3297,-40.2925,75.15,86,0,6.91,clear sky
209,Aykhal,RU,66.0,111.5,56.17,65,20,5.73,few clouds
210,Komsomolskiy,UZ,40.4272,71.7189,83.12,28,0,9.22,clear sky
211,Skoghall,SE,59.3232,13.4655,48.76,81,11,3.44,fog
212,Talnakh,RU,69.4865,88.3972,63.21,87,45,3.33,light rain
213,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,18.41,scattered clouds
214,Katsuura,JP,35.1333,140.3,86.02,75,86,21.77,overcast clouds
215,Finspang,SE,58.7058,15.7674,51.12,90,41,3.27,scattered clouds
216,Zhaotong,CN,27.3167,103.7167,70.2,77,99,4.5,overcast clouds
217,Kaitangata,NZ,-46.2817,169.8464,45.05,58,31,12.48,scattered clouds
218,Yar-Sale,RU,66.8333,70.8333,57.56,71,97,10.25,overcast clouds
219,Maple Creek,CA,49.9168,-109.4848,84.61,26,0,19.57,clear sky
220,Bilibino,RU,68.0546,166.4372,63.52,32,100,4.52,overcast clouds
221,Turukhansk,RU,65.8167,87.9833,69.06,71,14,9.55,few clouds
222,Ape,LV,57.5393,26.6929,50.72,94,25,1.23,scattered clouds
223,Zaozerne,UA,45.1582,33.2787,74.43,45,0,13.49,clear sky
224,Simpang,ID,-1.2667,104.0833,86.97,56,41,5.68,scattered clouds
225,Kirakira,SB,-10.4544,161.9205,83.93,70,16,6.33,few clouds
226,Pijino,CO,9.3291,-74.453,78.66,89,59,6.8,broken clouds
227,Leua,SK,48.2156,18.6071,64.49,90,2,2.66,clear sky
228,Pundaguitan,PH,6.3711,126.1689,80.6,75,99,3.49,overcast clouds
229,Weyburn,CA,49.6668,-103.8511,79.02,41,0,13.8,clear sky
230,Chancay,PE,-11.5714,-77.2672,60.4,87,51,8.1,broken clouds
231,Luderitz,NA,-26.6481,15.1594,54.21,77,34,2.86,scattered clouds
232,Bengkulu,ID,-3.8004,102.2655,82.58,71,6,5.53,clear sky
233,Matagami,CA,49.7502,-77.6328,51.91,93,40,0.0,scattered clouds
234,Fort Morgan,US,40.2503,-103.8,78.22,44,65,15.93,broken clouds
235,Ostrovnoy,RU,68.0531,39.5131,49.48,85,11,9.73,few clouds
236,Kiunga,PG,-6.1219,141.2906,84.49,67,100,5.17,overcast clouds
237,Yorosso,ML,12.3536,-4.7761,72.45,91,88,8.32,light rain
238,Amasia,TR,40.6533,35.8331,62.33,88,0,2.08,clear sky
239,Torbay,CA,47.6666,-52.7314,60.58,87,75,8.01,broken clouds
240,Kushmurun,KZ,52.4503,64.6311,65.86,60,15,11.32,few clouds
241,Blairmore,CA,49.6,-114.4353,81.99,21,1,6.02,clear sky
242,Turochak,RU,52.2576,87.1224,68.83,72,67,1.61,broken clouds
243,Qaqortoq,GL,60.7167,-46.0333,41.97,92,62,6.24,broken clouds
244,Balatonkenese,HU,47.0402,18.1067,64.65,76,84,4.56,broken clouds
245,Mosquera,CO,4.7059,-74.2302,55.49,67,20,8.05,few clouds
246,Ingleside,US,27.8778,-97.2117,86.04,79,40,12.66,scattered clouds
247,Flinders,AU,-34.5833,150.8552,51.84,86,100,11.61,light rain
248,Mount Pleasant,US,32.7941,-79.8626,80.98,87,0,4.61,clear sky
249,Turbat,PK,26.0023,63.044,87.62,52,100,1.34,overcast clouds
250,Saldanha,ZA,-33.0117,17.9442,44.65,81,0,5.12,clear sky
251,Umm Lajj,SA,25.0213,37.2685,86.32,77,61,8.32,broken clouds
252,Tual,ID,-5.6667,132.75,78.15,86,100,22.08,overcast clouds
253,Boa Vista,BR,2.8197,-60.6733,84.18,65,0,4.61,clear sky
254,Kloulklubed,PW,7.0419,134.2556,84.7,74,98,8.05,overcast clouds
255,Turba,EE,59.0831,24.225,48.49,93,2,0.0,fog
256,Klaksvik,FO,62.2266,-6.589,52.72,94,83,16.96,broken clouds
257,Tete,MZ,-16.1564,33.5867,57.29,82,0,0.0,clear sky
258,Bowen,AU,-20.0167,148.2333,70.02,43,0,12.91,clear sky
259,The Valley,AI,18.217,-63.0578,83.1,78,0,19.19,clear sky
260,Hay River,CA,60.8156,-115.7999,58.98,88,40,6.91,scattered clouds
261,Paamiut,GL,61.994,-49.6678,41.58,86,100,18.23,overcast clouds
262,Russell,US,32.3502,-85.1999,74.48,94,40,3.44,light rain
263,Salamiyah,SY,35.0113,37.0532,70.61,76,0,14.76,clear sky
264,Awbari,LY,26.5921,12.7805,81.5,24,5,7.78,clear sky
265,San Ignacio,BZ,17.1561,-89.0714,78.94,89,0,4.61,clear sky
