City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Monrovia,LR,75.02,light rain,6.3005,-10.7969,Sunset Inn
293,San Patricio,US,85.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
298,Ciudad Guayana,VE,81.52,scattered clouds,8.3533,-62.6528,Hotel Las Americas
307,Lompoc,US,77.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
310,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,hotel la terminal
311,Yala,TH,82.6,broken clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
313,Sao Filipe,CV,79.0,broken clouds,14.8961,-24.4956,Hotel Xaguate
315,San Policarpo,PH,83.86,broken clouds,12.1791,125.5072,Agapita M. Nicart
317,Bridgetown,BB,82.89,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
318,Araguaina,BR,80.87,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
321,Nagato,JP,87.85,broken clouds,34.3833,131.2,いそう庵
323,Auki,SB,84.61,scattered clouds,-8.7676,160.7034,Auki Motel
324,Acajutla,SV,78.98,light rain,13.5928,-89.8275,Laureles
326,Sinnamary,GF,78.94,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
329,Vaitape,PF,76.75,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
330,Kalianget,ID,83.68,clear sky,-7.05,113.9333,Pesanggrahan Garam
332,Bilma,NE,84.38,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
335,Isangel,VU,76.37,broken clouds,-19.55,169.2667,Tanna Lodge
339,Yinchuan,CN,80.29,scattered clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
340,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
343,Jhanjharpur,IN,88.88,clear sky,26.2667,86.2833,Krishna Sweets
355,Laguna,US,87.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
360,Rapid Valley,US,84.4,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
365,Dinajpur,BD,86.77,clear sky,25.6272,88.6386,Hotel Sahara
366,Gewane,ET,75.38,light rain,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
372,Samarai,PG,81.14,broken clouds,-10.6167,150.6667,Nuli Sapi
375,Waddan,LY,78.21,clear sky,29.1614,16.139,محل الشريف محمد العايب
377,Duncan,US,87.69,scattered clouds,34.5023,-97.9578,Days Inn by Wyndham Duncan
378,Methoni,GR,77.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
379,Lewistown,US,80.19,few clouds,40.5992,-77.5714,Quality Inn & Suites
381,San Francisco,US,75.16,few clouds,37.7749,-122.4194,Edwardian Hotel
382,Tomatlan,MX,77.61,overcast clouds,19.9333,-105.25,El Salvial
383,Acaponeta,MX,78.82,overcast clouds,22.4964,-105.3594,Hotel Casa Blanca
386,Hamilton,US,81.45,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
390,Newnan,US,77.2,broken clouds,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
392,Papara,BR,79.2,clear sky,-3.9839,-38.7273,CAMPOS MARANGUAPE
393,Ushtobe,KZ,82.71,scattered clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
397,Trieste,IT,76.75,overcast clouds,45.6486,13.78,Hotel NH Trieste
399,Hirara,JP,86.27,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
402,Pacific Grove,US,75.87,clear sky,36.6177,-121.9166,Lovers Point Inn
403,Petatlan,MX,85.8,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
406,Sibolga,ID,84.43,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
408,Baracoa,CU,79.38,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
415,Oussouye,SN,77.18,broken clouds,12.485,-16.5469,Auberge du Routard
419,Tagusao,PH,84.76,broken clouds,9.1924,117.8141,Caycay future beach resort
